id,script_jp,question,option_a,option_b,option_c,option_d,correct_option
1,今日は月曜日です。明日は火曜日です。,What day is today?,Monday,Tuesday,Wednesday,Thursday,a
2,私は毎朝七時に起きます。,What time does the person wake up?,6:00 AM,7:00 AM,8:00 AM,9:00 AM,b
3,このりんごは百円です。,How much does the apple cost?,50 yen,100 yen,200 yen,500 yen,b
4,電車は三時に来ます。,When does the train arrive?,2:00,3:00,4:00,5:00,b
5,私の犬は白くて大きいです。,What does the dog look like?,Black and small,White and large,Brown and medium,Black and large,b
6,今日は雨が降っています。傘を持ってください。,What is the weather like today?,Sunny,Cloudy,Rainy,Snowy,c
7,田中さんは医者です。毎日病院で働いています。,What is Tanaka-san's job?,Teacher,Doctor,Chef,Banker,b
8,このレストランは月曜日が休みです。,Which day is the restaurant closed?,Sunday,Monday,Tuesday,Wednesday,b
9,私は日本語と英語を話せます。,How many languages can the person speak?,One,Two,Three,Four,b
10,今日の最高気温は二十五度です。,What is today's high temperature?,15 degrees,20 degrees,25 degrees,30 degrees,c
