id,particle,usage_type,meaning,example_jp,example_en,blank_sentence,blank_answer
1,は,topic marker,marks the topic of the sentence,私は学生です。,I am a student.,私___学生です。,は
2,が,subject marker,marks the grammatical subject,猫が好きです。,I like cats.,猫___好きです。,が
3,を,object marker,marks the direct object,りんごを食べます。,I eat an apple.,りんご___食べます。,を
4,に,direction / time / location,indicates direction / point in time / location of existence,学校に行きます。,I go to school.,学校___行きます。,に
5,で,location of action / means,indicates where action occurs or means of doing,図書館で勉強します。,I study at the library.,図書館___勉強します。,で
6,へ,direction,indicates direction of movement (interchangeable with に for direction),東京へ行きます。,I go to Tokyo.,東京___行きます。,へ
7,と,with / and,marks accompaniment or lists nouns,友達と映画を見ます。,I watch a movie with my friend.,友達___映画を見ます。,と
8,も,also / too,adds to a previous item; replaces は・が・を,私も行きます。,I'm going too.,私___行きます。,も
9,の,possessive / noun modifier,connects nouns (possession or description),これは私の本です。,This is my book.,これは私___本です。,の
10,から,from / since,indicates starting point in space or time,東京から来ました。,I came from Tokyo.,東京___来ました。,から
11,まで,until / up to,indicates ending point in space or time,駅まで歩きます。,I walk to the station.,駅___歩きます。,まで
12,より,than,used in comparisons,電車より速いです。,It is faster than the train.,電車___速いです。,より
13,や,and (non-exhaustive),lists examples from a larger set,りんごやみかんを買いました。,I bought apples and oranges (among other things).,りんご___みかんを買いました。,や
14,ね,seeking agreement / confirmation,sentence-ending particle; asks for agreement,今日は寒いですね。,It's cold today isn't it?,今日は寒いです___。,ね
15,よ,emphasis / assertion,sentence-ending particle; asserts information,これはおいしいですよ。,This is delicious (I'm telling you)!,これはおいしいです___。,よ
